"German Store Configuration for Magento CE","Deutsche Shopkonfiguration für Magento CE"
"Partners - German Store Configuration for Magento CE","Partner - Deutsche Shopkonfiguration für Magento CE"
"Dashboard - German Store Configuration for Magento CE","Dashboard - Deutsche Shopkonfiguration für Magento CE"
"Suggestions - German Store Configuration for Magento CE","Empfehlungen - Deutsche Shopkonfiguration für Magento CE"
"Partners","Partner"
"Dashboard","Dashboard"
"Suggestions","Empfehlungen"
"Magento DE","Magento DE"
"Please enter your data:","Bitte geben Sie Ihre Daten ein:"
"Shop Data","Shop-Daten"
"Magento was prepared successfully.","Magento wurde erfolgreich vorbereitet."
"Your data was saved successfully.","Ihre Daten wurden erfolgreich gespeichert."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s (IBAN %s, SWIFT %s)","Unsere Bankverbindung: %s, Kto. %s, BLZ %s, %s (IBAN %s, SWIFT %s)."
"PayPal Merchant Account Email Address","Email-Adresse des PayPal-Händleraccounts"
"Store Languages","Shop-Sprachen"
"Create Additional Store Languages","Zusätzliche Sprachen anlegen"
"German","Deutsch"
"English","English"
"Français","Français"
"Italiano","Italiano"
"German language will be created automatically.","Deutsch wird als Standardsprache automatisch angelegt."
"Default Category","Standard-Kategorie"
"Display Logo in Header","Logo im Header anzeigen"
"Display Entry in Menu","Menü-Eintrag anzeigen"
"Display Block in Dashboard","Block in der Übersicht (Dashboard) anzeigen"
"optional","optional"
"Dashboard","Dashboard"
"Partners","Partner"
"Recommendations","Empfehlungen"
"Integrated Modules","Integrierte Module"

"Help to improve Magento DE - data transfer","Mithilfe zur Verbesserung von Magento DE - Datenübertragung"
"Magento DE ist a project from the community, for the community. The German shop configuration for the Magento Community Edition has been created to make the entry to Magento as easy as possible. This project has been initiated by the Netresearch App Factory. The implementation is being lead by integer_net and their experienced developers, who integratet the best and most important extensions for the German market together with the community.","Magento DE ist ein Projekt von der Community für die Community. Die deutsche Shopkonfiguration für die Magento Community Edition wurde erstellt, um den Einstieg in Magento so einfach wie möglich zu gestalten. Initiiert wurde das Projekt von der Netresearch App Factory. Für den Lead der Umsetzung sind mit integer_net erfahrene und engagierte Entwickler im Boot, die gemeinsam mit der Community die wichtigsten und besten Exensions für die Anpassung an den deutschen Markt integriert haben."
"Your consent for transferring usage and contact details through Magento DE enables the developers and community partners to further distribute, develop, and continually improve Magento DE. This way, you and many other merchants can profit from an up-to-date and attractive Magento DE system plus frequent adaptions for the German market.","Mit Ihrer Zustimmung der Übermittlung von Nutzungs- und Kontaktdaten durch Magento DE, können Sie Entwickler & Community-Partner aktiv dabei unterstützen, die Verbreitung von Magento DE zu verfolgen, die Installation weiterzuentwickeln und stetig zu verbessern. Somit profitieren auch Sie und vielen weitere Händler von einem aktuellen und attraktiven System Magento DE und regelmäßigen Anpassungen für den deutschen Markt."
"Of course, you can decide what data you wish to be transmitted. In general, this project is only interested in information about the use of the system and, were indicated, contact details from your imprint. No further information or data will be transmitted.","Selbstverständlich können Sie selbst entscheiden, welche Umfang an Daten Sie für die Übertragung zulassen und inwieweit Sie damit die Weiterentwicklung von Magento DE unterstützen. Das Projekt Magento DE ist generell nur an Daten zur Nutzung der Installation und ggf. Kontaktdaten aus Ihrem offiziellen Impressum interessiert. Es erfolgt keine darüber hinausgehende Erhebung von Daten."
"Thank you very much in advance for your help.","Vielen Dank im Voraus für Ihre Mithilfe."
"I wish no information to be transmitted.","Ich möchte, dass keine Übertragung erfolgt."
"I want to help monitor the distribution of Magento DE and therefore agree on transmitting only the information necessary to accomplish this, thereby supporting the project.","Ich helfe mit, die Verbreitung von Magento DE zu beobachten und bin damit einverstanden, dass Daten zur reinen Überprüfung der Reichweite von Magento DE übertragen werden."
"What information will be transmitted?","Daten der Übertragung einsehen"
"I want to help monitor the distribution of Magento DE and also want to profit from exclusive offers from the NR App Factory and their partners.","Ich helfe mit, die Verbreitung von Magento DE zu beobachten und möchte von den exklusiven Vorteils-Angeboten der NR App Factory & Ihrer Partner profitieren."
"This could be your exclusive offers","Dies könnten Ihre Vorteils-Angebote sein."
"Offers could be for example:","Konkrete Angebote könnten beispielsweise sein:"
"Special conditions when purchasing extensions or services from the NAF store nr.apps.com","Vorteilskonditionen beim Kauf von Extensions oder Supportleistungen im NAF Store nr.apps.com"
"Purchase options and special conditions for Magento event tickes, e.g. Meet Magento or Developers Paradise","Vorkaufsrecht und Sonderkonditionen auf Magento-Branchen-Event-Tickets wie z.B. Meet-Magento & Developers-Paradise"
"Purchase options and special conditions for Magento education tickets, e.g. NR Campus","Vorkaufsrecht und Sonderkonditionen auf Magento-Schulungs-Veranstaltungen wie z.B. NR Campus"
"Showing your shop name and a link to your domain on nr-apps.com","Ausweis als Nutzer inkl. Backlink für Ihre Domain auf nr-apps.com"
"and many more","und viele mehr"
"For your personal offers and information about Magento DE, please see the newsfeed of your system.","Ihre persönlichen Angebote und aktuelle Informationen rund um Magento DE entnehmen Sie bitte dem aktuellen Newsfeed Ihres Systems."
"I agree to help monitor the distribution of Magento DE and therefore agree on transmitting the information necessary to accomplish this, thereby supporting the project.","Ich erkläre mich damit einverstanden, dass Kontaktdaten zur Überprüfung der Reichweite von Magento DE übertragen werden und unterstütze somit aktiv das Projekt."
"Server IP","Server-IP"
"Request Date","Übertragungsdatum"
"Magento Version","Magento-Version"
"Imprint Datas: Shop Name, Company, Street, ZIP, City, Country, Telephone, Fax, Email, Website, CEO, Owner","Impressum-Daten: Shop Name, Firma, Straße, PLZ, Ort, Land, Telefon, Fax, Email, Website, Geschäftsführer, Inhaber"
"Further information on data privacy can be found <a href=""%s"" target=""_blank"">here</a>.","Weitere Informationen zum Datenschutz finden Sie <a href=""%s"" target=""_blank"">hier</a>"

"News cannot be displayed at the moment. Please try again later.","Nachrichten können im Moment nicht abgerufen werden. Bitte versuchen Sie es später erneut."
"Store ""%s"" already exists.","Der Shop ""%s"" existiert bereits."

"FireGento German Setup","FireGento German Setup"
"Extension Setup","Extension-Setup"
"Tax Settings","Steuereinstellungen"
"Checkout Agreements","Bestellbedingungen"

"FireGento PDF","FireGento PDF"

"Autoshipping","Autoshipping"

"Cash On Delivery","Nachnahme"

"Debit","Bankeinzug"
"Bank Data Setup","Bankdaten-Einrichtung"

"Remove Customer Account Links","Kundenkonto-Links entfernen"

"Configuration","Konfiguration"

"Display Copyright Notice in Imprint","Copyright-Hinweis im Impressum anzeigen"
"<a href=""%s"" target=""_blank"">Magento DE</a> is a project of the Magento community powered by <a href=""%s"" target=""_blank"">Netresearch App Factory</a> &amp; <a href=""%s"" target=""_blank"">integer_net</a>","<a href=""%s"" target=""_blank"">Magento DE</a> ist ein Projekt der Magento Community powered by <a href=""%s"" target=""_blank"">Netresearch App Factory</a> &amp; <a href=""%s"" target=""_blank"">integer_net</a>"

"Phoenix_CashOnDelivery::You will be charged an extra fee of %s.","Nachnahmegebühr %s"
